record,anchor,filler,diff
1676,0.7468338698148721,0.18012215213335922,0.5667117176815128
2147,0.9979648470878599,0.4214506671067539,0.576514179981106
2232,0.87389463186264,0.6309275678147304,0.2429670640479097
2306,0.23773836544714802,0.8250606358051296,-0.5873222703579816
2334,0.5359557747840876,0.6821012748094891,-0.1461455000254015
3421,0.6165519952774043,0.3863861878271559,0.23016580745024845
3428,0.9827768623828884,0.141849841922521,0.8409270204603674
3698,0.729333162307739,0.5270748971835759,0.20225826512416312
3921,0.9429738158765043,0.43438469397492513,0.5085891219015792
3931,0.4705818939022716,0.5628350465898009,-0.09225315268752926
3939,0.7793597504496573,0.044012923450541426,0.7353468269991159
3951,0.9338986521417442,0.1434969406594361,0.7904017114823081
3976,0.23754773475229704,0.6565073331197097,-0.4189595983674126
4033,0.3469068451425597,0.03155263788804985,0.31535420725450986
4034,0.5863364052493122,0.004480163760308366,0.5818562414890038
4035,0.819828782478968,0.42501070507569183,0.3948180774032761
4050,0.5476684177701822,0.44007656050380267,0.10759185726637949
4054,0.9202641963958736,0.3534278966605291,0.5668362997353446
4056,0.7473911017179484,0.370723011437803,0.3766680902801454
4057,0.6889466941356657,0.6137116507161409,0.0752350434195248
4060,0.5298608681419859,0.5590069045623139,-0.029146036420328092
4063,0.48003560602664885,0.48546373725225195,-0.0054281312256030945
4069,0.3332304037838701,0.5447634446900332,-0.21153304090616315
4072,0.9642383813858028,0.4679100344733641,0.49632834691243866
4076,0.9938883662223811,0.6029333529922248,0.39095501323015625
4079,0.9111542373895641,0.43041925653815244,0.4807349808514117
4080,0.4808375342283394,0.381298277837534,0.09953925639080541
