record,anchor,filler,diff
1676,0.7468338698148721,0.15451041437285903,0.592323455442013
2147,0.9979648470878599,0.39909953619272637,0.5988653108951336
2232,0.87389463186264,0.5811663802282276,0.2927282516344124
2306,0.23773836544714802,0.48090444235484775,-0.24316607690769973
2334,0.5359557747840876,0.6205856377507963,-0.08462986296670871
3421,0.46136496623715306,0.32362042762666854,0.13774453861048452
3428,0.9827768623828884,0.061932588727596403,0.920844273655292
3698,0.729333162307739,0.5041693056745207,0.22516385663321836
3921,0.9376261230337463,0.3430129953851468,0.5946131276485995
3931,0.4705818939022716,0.45592344107561267,0.014658452826658952
3939,0.7793597504496573,0.07291332669105079,0.7064464237586066
3951,0.6928741455981449,0.12915181542711546,0.5637223301710295
3964,0.115095968631214,0.4291741639914674,-0.3140781953602534
3976,0.179738880272576,0.444042448358733,-0.264303568086157
4033,0.3469068451425597,0.018932806125247385,0.3279740390173123
4034,0.5863364052493122,0.0023009476141666054,0.5840354576351455
4035,0.819828782478968,0.40321571406284784,0.4166130684161201
4042,0.024693195313627975,0.30641861608341076,-0.2817254207697828
4050,0.5476684177701822,0.3814080751249362,0.16626034264524597
4054,0.9202641963958736,0.21255909749772833,0.7077050988981453
4056,0.7473911017179484,0.6781908565341044,0.06920024518384404
4057,0.6889466941356657,0.3520235725431995,0.3369231215924662
4060,0.5298608681419859,0.5212335400684935,0.008627328073492313
4063,0.48003560602664885,0.3718582806149927,0.10817732541165614
4069,0.3332304037838701,0.46591665986283837,-0.13268625607896828
4070,9.86269619968552e-06,0.3588478517299211,-0.35883798903372144
4072,0.9642383813858028,0.3527326196539047,0.6115057617318981
4076,0.49723009889400016,0.5187233630931434,-0.021493264199143214
4079,0.827029102153928,0.3765735088632889,0.4504555932906391
4080,0.4808375342283394,0.2574636992694798,0.2233738349588596
